75,0.1,RAG,SLIC,avg_color,73.97663751214772,7.225731364168294,328.4155490767736,39.97345755931828
10,0.1,RAG,SLIC0,avg_color std_deviation_color centroid std_deviation_centroid,10.150359572400388,1.3313650560593187,36.6600583090379,6.8108420109738645
20,0.1,RAG,SLIC0,avg_color std_deviation_color centroid std_deviation_centroid,19.547016520894072,1.759034803786472,83.98476190476191,10.33282112903407
50,0.1,RAG,SLIC0,avg_color std_deviation_color centroid std_deviation_centroid,49.01449951409135,3.0347747513286714,240.83265306122448,18.388609914670525
100,0.1,RAG,SLIC0,avg_color std_deviation_color centroid std_deviation_centroid,101.06577259475219,5.097398154010761,528.5549465500486,31.07193421000822
200,0.1,RAG,SLIC0,avg_color std_deviation_color centroid std_deviation_centroid,202.721749271137,9.509212516986299,1105.134693877551,56.91816309420086
400,0.1,RAG,SLIC0,avg_color std_deviation_color centroid std_deviation_centroid,405.9332944606414,17.724806545806825,2276.504256559767,105.46664776793425
10,0.1,RAG,SLIC,avg_color std_deviation_color centroid std_deviation_centroid,10.394596695821186,1.8415298594259084,36.55043731778426,8.94998478769152
20,0.1,RAG,SLIC,avg_color std_deviation_color centroid std_deviation_centroid,19.088396501457726,2.4162471310840132,76.65298347910593,12.345482184194802
50,0.1,RAG,SLIC,avg_color std_deviation_color centroid std_deviation_centroid,47.30192419825073,4.875754477022158,203.81286686103013,27.819352802022227
100,0.1,RAG,SLIC,avg_color std_deviation_color centroid std_deviation_centroid,98.79389698736638,9.414046205550187,439.1437900874636,53.55870982640324
400,0.1,RAG,SLIC,avg_color std_deviation_color centroid std_deviation_centroid,390.93924198250727,29.16428053116737,1742.6114674441205,189.33174135478586
200,0.1,RAG,SLIC0,avg_color std_deviation_color centroid std_deviation_centroid,202.721749271137,9.509212516986299,1105.134693877551,56.91816309420086
